Student ID,Placement 1,Placement 2,Year
S501,CH4020,PH4020,Senior
S502,CH3500,PH3500,Senior
S503,CH3500,PH4020,Senior
S504,CH4020,PH3500,Senior
S505,CH3500,PH3500,Senior
S506,CH4020,PH3500,Senior
S507,CH4020,PH4020,Senior
S508,CH4020,PH4020,Senior
S509,CH4020,PH4020,Senior
S510,CH4020,PH3500,Senior
S511,CH4020,PH4020,Senior
S512,CH4020,PH4020,Senior
S513,CH4020,PH4020,Senior
S514,CH4020,PH4020,Senior
S515,CH3500,PH4020,Senior
S516,CH4020,PH3500,Senior
S517,CH4020,PH3500,Senior
S518,CH4020,EXEMPT,Senior
S519,CH4020,PH3500,Senior
S520,CH4020,PH4020,Senior
S521,CH4020,PH4240,Senior
S522,CH4020,PH4020,Senior
S523,CH4020,PH4020,Senior
S524,CH4020,PH4020,Senior
S525,CH4020,PH4020,Senior
S526,CH4020,PH4020,Senior
S527,CH3500,PH4020,Senior
S528,CH3500,PH3500,Senior
S529,CH3500,PH3500,Senior
S531,CH3500,PH3500,Senior
S532,CH4020,PH4020,Senior
S533,CH3500,PH4020,Senior
S535,CH3500,PH3500,Senior
S536,CH4020,PH4020,Senior
S537,CH4020,PH3500,Senior
S538,CH4020,PH4020,Senior
S539,CH3500,PH3500,Senior
S540,CH4020,PH4020,Senior
S541,CH3500,PH3500,Senior
S542,CH3500,PH4020,Senior
S543,CH4020,PH4020,Senior
S544,CH4020,PH3500,Senior
S545,CH4020,PH4020,Senior
S546,CH4020,PH3500,Senior
S547,CH4020,PH3500,Senior
S548,CH4020,PH3500,Senior
S549,CH4020,PH4020,Senior
S550,CH4020,PH3500,Senior
S551,CH3500,PH3500,Senior
S552,CH4020,PH4020,Senior
S553,CH4020,PH3500,Senior
S554,CH4020,PH4020,Senior
S555,CH3500,PH4020,Senior
S556,CH4120,PH3500,Senior
S557,CH3500,PH3500,Senior
S558,CH4020,PH3500,Senior
S559,CH3500,PH3500,Senior
S560,CH3500,PH3500,Senior
S561,CH3500,PH4020,Senior
S562,CH3500,PH4020,Senior
S563,CH4020,PH3500,Senior
S564,CH4020,PH4020,Senior
S565,CH3500,PH4020,Senior
S566,CH4020,PH3500,Senior
S567,CH3500,PH3500,Senior
S568,CH4020,PH4020,Senior
S569,CH4120,PH4020,Senior
S570,CH3500,PH4020,Senior
S571,CH3500,PH3500,Senior
S572,CH4020,PH3500,Senior
S573,CH4020,PH3500,Senior
S574,CH4020,PH4020,Senior
S575,CH3500,PH3500,Senior
S576,CH3500,PH3500,Senior
S577,CH3500,PH3500,Senior
S578,CH3500,PH3500,Senior
S579,CH3500,PH3500,Senior
S580,CH3500,PH3500,Senior
S581,CH3500,PH3500,Senior
S582,CH4020,PH4020,Senior
S583,CH3500,PH3500,Senior
S584,CH4020,PH3500,Senior
S585,CH4020,PH4020,Senior
S586,CH3500,PH3500,Senior
S587,CH4020,PH3500,Senior
S588,CH4020,PH3500,Senior
S589,CH4020,PH4020,Senior
S590,CH4020,PH3500,Senior
S591,CH4020,PH4020,Senior
S592,CH4020,PH4020,Senior
S593,CH3500,PH3500,Senior
S594,CH4020,PH4020,Senior
S595,CH4020,PH4020,Senior
S596,CH4020,PH4020,Senior
S597,CH3500,PH3500,Senior
S599,CH4020,PH4020,Senior
S600,CH4020,PH4020,Senior
S601,CH4020,PH3500,Senior
S602,CH4020,PH3500,Senior
S603,CH3500,PH3500,Senior
S604,CH4020,PH4020,Senior
S605,CH4020,PH4020,Senior
S606,CH4020,PH4020,Senior
S607,CH4120,PH4020,Senior
S608,CH4020,PH4020,Senior
S609,CH4020,PH4020,Senior
S610,CH4020,PH4020,Senior
S611,CH4020,PH3500,Senior
S612,CH4020,PH4020,Senior
S613,CH4020,PH4020,Senior
S614,CH4020,PH4020,Senior
S615,CH3500,PH3500,Senior
S616,CH4020,PH3500,Senior
S617,CH4020,PH3500,Senior
S618,CH4020,PH3500,Senior
S619,CH3500,PH3500,Senior
S620,CH4020,PH3500,Senior
S621,CH3500,PH3500,Senior
S622,CH3500,PH4020,Senior
S623,CH4020,PH3500,Senior
S624,CH4020,PH4020,Senior
S625,CH4020,PH3500,Senior
S626,CH4020,PH4020,Senior
S627,CH4020,PH4020,Senior
S628,CH4120,PH4020,Senior
S629,CH4020,PH3500,Senior
S630,CH4020,PH4020,Senior
S631,CH3500,PH4020,Senior
S632,CH4020,PH4020,Senior
S633,EXEMPT,PH4020,Senior
S634,CH3500,PH4020,Senior
S635,CH4020,PH3500,Senior
S636,CH3500,PH3500,Senior
S637,CH4020,PH4020,Senior
S638,CH4020,PH4020,Senior
S639,CH3500,PH3500,Senior
S640,CH4020,PH4020,Senior
S641,CH4020,PH4020,Senior
S642,CH4020,PH4020,Senior
S643,CH4020,PH3500,Senior
S644,CH4020,PH3500,Senior
S645,CH4020,PH4020,Senior
S646,CH3500,PH3500,Senior
S647,CH4020,PH4020,Senior
S648,CH4020,PH3500,Senior
S649,CH4020,PH3500,Senior
S650,CH4020,PH4020,Senior
S651,CH4020,PH3500,Senior
S652,CH4020,PH4020,Senior
S653,CH4020,PH3500,Senior
S654,CH4020,PH4020,Senior
S655,CH4020,PH4020,Senior
S656,CH4020,PH4020,Senior
S657,CH4020,PH4020,Senior
S658,CH4020,PH4020,Senior
S659,CH3500,PH3500,Senior
S660,CH4020,PH4020,Senior
S661,CH4020,PH3500,Senior
S662,CH4020,PH4020,Senior
S663,CH4020,PH4240,Senior
S664,CH4020,PH4020,Senior
S665,CH3500,PH4020,Senior
S666,CH4020,PH4020,Senior
S667,CH4120,PH4020,Senior
S668,CH4020,PH4020,Senior
S669,CH4020,PH4020,Senior
S670,CH3500,PH4020,Senior
S671,CH4020,PH3500,Senior
S672,CH3500,PH3500,Senior
S673,CH4020,PH3500,Senior
S001,MA4046 Calculus II,,Junior
S002,MA4000 Precalculus,,Junior
S003,MA4042 Calculus I,,Junior
S004,MAxxxx Advanced Maths,,Junior
S005,MA4042 Calculus I,,Junior
S006,MAxxxx Advanced Maths,,Junior
S007,MA4042 Calculus I,,Junior
S008,MA4000 Precalculus,,Junior
S009,MA4042 Calculus I,,Junior
S010,MA4000 Precalculus,,Junior
S011,MA4012 Calculus Ia,,Junior
S012,MA4000 Precalculus,,Junior
S013,MA4042 Calculus I,,Junior
S014,MA4042 Calculus I,,Junior
S015,MA4042 Calculus I,,Junior
S016,MA4042 Calculus I,,Junior
S017,MA4042 Calculus I,,Junior
S018,MA4000 Precalculus,,Junior
S019,MA4042 Calculus I,,Junior
S020,MA4000 Precalculus,,Junior
S021,MAxxxx Advanced Maths,,Junior
S022,MA4000 Precalculus,,Junior
S023,MA4042 Calculus I,,Junior
S024,MA4000 Precalculus,,Junior
S025,MA4042 Calculus I,,Junior
S026,MA4000 Precalculus,,Junior
S027,MA4046 Calculus II,,Junior
S028,MA4000 Precalculus,,Junior
S029,MA4000 Precalculus,,Junior
S030,MA4000 Precalculus,,Junior
S031,MA4042 Calculus I,,Junior
S032,MA4000 Precalculus,,Junior
S033,MA4012 Calculus Ia,,Junior
S034,MA4000 Precalculus,,Junior
S035,MA4012 Calculus Ia,,Junior
