Class,Course,Section,Course code,School level,Start term,Block,Max class size
MA4002 Precalculus & Modeling w/ Advanced Topics II - MA4002-003,MA4002 Precalculus & Modeling w/ Advanced Topics II,MA4002-003,MA4002,NCSSM Durham,2nd Semester,E123L5,22
MA4002 Precalculus & Modeling w/ Advanced Topics II - MA4002-004,MA4002 Precalculus & Modeling w/ Advanced Topics II,MA4002-004,MA4002,NCSSM Durham,2nd Semester,F1234L,22
MA4002 Precalculus & Modeling w/ Advanced Topics II - MA4002-005,MA4002 Precalculus & Modeling w/ Advanced Topics II,MA4002-005,MA4002,NCSSM Durham,2nd Semester,G12L34,22
MA4002 Precalculus & Modeling w/ Advanced Topics II - MA4002-006,MA4002 Precalculus & Modeling w/ Advanced Topics II,MA4002-006,MA4002,NCSSM Durham,2nd Semester,B134L5,22
MA4014 Calculus Ib with AP Exam Prep - MA4014-001,MA4014 Calculus Ib with AP Exam Prep,MA4014-001,MA4014,NCSSM Durham,2nd Semester,A12L45,22
MA4014 Calculus Ib with AP Exam Prep - MA4014-002,MA4014 Calculus Ib with AP Exam Prep,MA4014-002,MA4014,NCSSM Durham,2nd Semester,B134L5,22
MA4014 Calculus Ib with AP Exam Prep - MA4014-004,MA4014 Calculus Ib with AP Exam Prep,MA4014-004,MA4014,NCSSM Durham,2nd Semester,E123L5,22
MA4016 Calculus Ib - MA4016-001,MA4016 Calculus Ib,MA4016-001,MA4016,NCSSM Durham,2nd Semester,A12L45,22
MA4016 Calculus Ib - MA4016-002,MA4016 Calculus Ib,MA4016-002,MA4016,NCSSM Durham,2nd Semester,B134L5,22
MA4016 Calculus Ib - MA4016-004,MA4016 Calculus Ib,MA4016-004,MA4016,NCSSM Durham,2nd Semester,E123L5,22
MA4044 Calculus II with AP Exam Prep - MA4044-001,MA4044 Calculus II with AP Exam Prep,MA4044-001,MA4044,NCSSM Durham,2nd Semester,A12L45,11
MA4044 Calculus II with AP Exam Prep - MA4044-002,MA4044 Calculus II with AP Exam Prep,MA4044-002,MA4044,NCSSM Durham,2nd Semester,B134L5,11
MA4044 Calculus II with AP Exam Prep - MA4044-003,MA4044 Calculus II with AP Exam Prep,MA4044-003,MA4044,NCSSM Durham,2nd Semester,C13L45,11
MA4044 Calculus II with AP Exam Prep - MA4044-004,MA4044 Calculus II with AP Exam Prep,MA4044-004,MA4044,NCSSM Durham,2nd Semester,D1235L,11
MA4044 Calculus II with AP Exam Prep - MA4044-005,MA4044 Calculus II with AP Exam Prep,MA4044-005,MA4044,NCSSM Durham,2nd Semester,E123L5,11
MA4044 Calculus II with AP Exam Prep - MA4044-006,MA4044 Calculus II with AP Exam Prep,MA4044-006,MA4044,NCSSM Durham,2nd Semester,F1234L,11
MA4044 Calculus II with AP Exam Prep - MA4044-007,MA4044 Calculus II with AP Exam Prep,MA4044-007,MA4044,NCSSM Durham,2nd Semester,D1235L,11
MA4044 Calculus II with AP Exam Prep - MA4044-008,MA4044 Calculus II with AP Exam Prep,MA4044-008,MA4044,NCSSM Durham,2nd Semester,G12L34,11
MA4044 Calculus II with AP Exam Prep - MA4044-009,MA4044 Calculus II with AP Exam Prep,MA4044-009,MA4044,NCSSM Durham,2nd Semester,A12L45,11
MA4046 Calculus II - MA4046-002,MA4046 Calculus II,MA4046-002,MA4046,NCSSM Durham,2nd Semester,A12L45,22
MA4046 Calculus II - MA4046-003,MA4046 Calculus II,MA4046-003,MA4046,NCSSM Durham,2nd Semester,B134L5,22
MA4046 Calculus II - MA4046-004,MA4046 Calculus II,MA4046-004,MA4046,NCSSM Durham,2nd Semester,C13L45,22
MA4046 Calculus II - MA4046-005,MA4046 Calculus II,MA4046-005,MA4046,NCSSM Durham,2nd Semester,D1235L,22
MA4046 Calculus II - MA4046-006,MA4046 Calculus II,MA4046-006,MA4046,NCSSM Durham,2nd Semester,E123L5,22
MA4046 Calculus II - MA4046-007,MA4046 Calculus II,MA4046-007,MA4046,NCSSM Durham,2nd Semester,F1234L,22
MA4046 Calculus II - MA4046-008,MA4046 Calculus II,MA4046-008,MA4046,NCSSM Durham,2nd Semester,D1235L,22
MA4046 Calculus II - MA4046-009,MA4046 Calculus II,MA4046-009,MA4046,NCSSM Durham,2nd Semester,G12L34,22
MA4046 Calculus II - MA4046-010,MA4046 Calculus II,MA4046-010,MA4046,NCSSM Durham,2nd Semester,A12L45,22
MA4050 Modeling with Differential Equations - MA4050-003,MA4050 Modeling with Differential Equations,MA4050-003,MA4050,NCSSM Durham,2nd Semester,C13L45,22
MA4050 Modeling with Differential Equations - MA4050-004,MA4050 Modeling with Differential Equations,MA4050-004,MA4050,NCSSM Durham,2nd Semester,E123L5,22
MA4060 Multivariable Calculus - MA4060-004,MA4060 Multivariable Calculus,MA4060-004,MA4060,NCSSM Durham,2nd Semester,A12L45,22
MA4060 Multivariable Calculus - MA4060-005,MA4060 Multivariable Calculus,MA4060-005,MA4060,NCSSM Durham,2nd Semester,D1235L,22
MA4102 AP Statistics w/ Advanced Topics II - MA4102-001,MA4102 AP Statistics w/ Advanced Topics II,MA4102-001,MA4102,NCSSM Durham,2nd Semester,B134L5,24
MA4102 AP Statistics w/ Advanced Topics II - MA4102-002,MA4102 AP Statistics w/ Advanced Topics II,MA4102-002,MA4102,NCSSM Durham,2nd Semester,D1235L,24
MA4102 AP Statistics w/ Advanced Topics II - MA4102-003,MA4102 AP Statistics w/ Advanced Topics II,MA4102-003,MA4102,NCSSM Durham,2nd Semester,F1234L,24
MA4110 Foundations of Data Science - MA4110-004,MA4110 Foundations of Data Science,MA4110-004,MA4110,NCSSM Durham,2nd Semester,F1234L,24
MA4210 Topics in Civic Mathematics - MA4210-001,MA4210 Topics in Civic Mathematics,MA4210-001,MA4210,NCSSM Durham,2nd Semester,E13L5L,24
MA4210 Topics in Civic Mathematics - MA4210-002,MA4210 Topics in Civic Mathematics,MA4210-002,MA4210,NCSSM Durham,2nd Semester,F1234L,24
MA4230 Complex Systems and Modern Networks - MA4230-001,MA4230 Complex Systems and Modern Networks,MA4230-001,MA4230,NCSSM Durham,2nd Semester,B134L5,22
MA4240 Numerical Analysis - MA4240-001,MA4240 Numerical Analysis,MA4240-001,MA4240,NCSSM Durham,2nd Semester,C13L45,22
MA4300 Combinatorics and Game Theory - MA4300-001,MA4300 Combinatorics and Game Theory,MA4300-001,MA4300,NCSSM Durham,2nd Semester,A12L4,24
MA4310 Topics in Theoretical Mathematics - MA4310-001,MA4310 Topics in Theoretical Mathematics,MA4310-001,MA4310,NCSSM Durham,2nd Semester,F1234L,22
MA4500 Graph Theory with REX Math - MA4500-003,MA4500 Graph Theory with REX Math,MA4500-003,MA4500,NCSSM Durham,2nd Semester,G12L34,24
MA4510 Research in Mathematics - MA4510-001,MA4510 Research in Mathematics,MA4510-001,MA4510,NCSSM Durham,2nd Semester,G12L34,22
MA4522 Advanced Mathematical Topics II - MA4522-001,MA4522 Advanced Mathematical Topics II,MA4522-001,MA4522,NCSSM Durham,2nd Semester,M123,8
MR3080 Mentorship: Foundations in Research - MR3080-001D,MR3080 Mentorship: Foundations in Research,MR3080-001D,MR3080,NCSSM Durham,2nd Semester,H2,40
MR3080 Mentorship: Foundations in Research - MR3080-002D,MR3080 Mentorship: Foundations in Research,MR3080-002D,MR3080,NCSSM Durham,2nd Semester,I2,40
MR3080 Mentorship: Foundations in Research - MR3080-003D,MR3080 Mentorship: Foundations in Research,MR3080-003D,MR3080,NCSSM Durham,2nd Semester,H3,40
